τη	1084
το	670
η	600
και	579
εν	557
ο	435
σα	399
τ	386
τα	290
σο	264
κι	258
σην	232
για	224
χρονία	218
ημέρα	205
να	204
σταυρί	193
τρυγομηνά	189
καλανταρί	187
ημέρας	175
την	165
χρονίας	146
με	141
άλλα	138
ημερολόγιον	134
γρηγοριανόν	131
λεει	129
πληθυσμόν	126
ντο	124
τον	121
εχ	117
επέμναν	116
δίσεκτον	116
ατ'ς	116
τελούτεν	114
έτον	102
αεργίτες	97
οι	91
σ	90
άμον	82
μας	81
οσήμερον	79
ίστε	77
έν	77
χρονίαν	75
ατ	71
σταυρίτες	70
τρυγομηνάς	69
σον	69
κράτος	69
χριστουγεννάρτς	68
πρωτεύουσαν	68
απρίλτ	63
ανθρώπ	63
ανθρώπ'ς	61
πολλά	60
ση	59
πολιτεία	57
που	56
τρανόν	53
μαρτς	52
κούντουρος	51
εμάς	50
ασα	50
πολιτείαν	49
κ	49
του	47
ελλενικά	45
μαρτί	44
καλαντάρτς	44
επεκεί	44
είναι	44
ευρίεται	43
ασ	41
πα	40
π.χ	39
χορτοθέρτς	38
σε	38
ευρώπης	36
τοι	35
ουκρανίαν	35
έναν	35
ατό	34
έντον	34
θάλασσαν	31
ντ	30
ελλάδαν	30
απές	30
τρανά	28
ποντιακά	28
έχ	28
έτονε	28
χώρα	27
εποίκαν	27
είν	27
εντάμαν	26
γκαίτε	26
αέτς	26
άμαν	26
όνεμαν	25
ας	25
χώρας	24
πολιτείας	24
πόντον	23
νταγ	23
απάν	23
έχνε	23
άμα	23
πόλεμον	22
μήνας	22
μ	22
ιστορίαν	22
εςς	22
δημοκρατίαν	22
ασην	22
α	22
των	21
ς	21
πρόεδρον	21
μερέαν	21
καλομηνάς	21
εξέβεν	21
απρίλτς	21
όνεμα	20
τραγωδίας	20
εγεννέθεν	20
ασόν	20
πόντονος	19
λ.χ	19
επαίρεν	19
ελλενικόν	19
ασον	19
ασο	19
χώραν	18
πρώτον	18
ους	18
γλώσσαν	18
ασό	18
τουρκίαν	17
ρουσίαν	17
πολλοί	17
κόσμον	17
κέντρον	17
αφκά	17
ατά	17
έλλενες	17
χωρίον	16
της	16
τερέστεν	16
πρωθυπουργόν	16
ελλάδας	16
βασίλειον	16
ατόν	16
απαναφκά	16
αλωναρί	16
όντες	15
χορτοθερί	15
παλαιόν	15
μαύρον	15
εποίκεν	15
δυτικά	15
αυτοκρατορίας	15
ατα	15
από	15
χρόναι	14
τουρκίας	14
ραχίν	14
μικρόν	14
κερασινός	14
θάλασσα	14
ερχίνεσεν	14
επαίραν	14
εξόν	14
είςεν	14
γλώσσας	14
ατούν	14
ατέν	14
ανατολικά	14
χριστουγενναρί	13
πρωτεύουσα	13
μεσόγειον	13
μακεδονίας	13
λέξην	13
εγέντον	13
δύσαν	13
γιόχαν	13
ατον	13
έξεργος	13
έγραψεν	13
τ’	12
τ'όνομαν	12
ρωμαϊκόν	12
πόντος	12
πρώτα	12
μαναχόν	12
μέρος	12
ευρώπην	12
γράψιμον	12
γιά	12
βασιλέας	12
ανθρώπς	12
άλλο	12
ωκεανόν	11
χρόνε	11
τὰ	11
τόπον	11
τουρκ	11
ποντιακόν	11
περισσόν	11
πάει	11
κατά	11
κάλαντα	11
εφτάει	11
ελλάδα	11
εβγών	11
γαλλικά	11
βόρεια	11
αυτοκρατορίαν	11
ασήν	11
αμόν	11
αλλά	11
αεργί	11
όπως	10
χρήστες	10
χμ	10
χερσόνησος	10
τουρκάντ	10
τζιπ	10
στράβων	10
παρχάραι	10
π	10
οσημερνόν	10
οποίον	10
λέξεις	10
καὶ	10
επεξεργαστάς	10
επαρχίαν	10
δυο	10
δουλείας	10
βόρειον	10
αση	10
ασίαν	10
ανατολήν	10
έργον	10
ένι	10
χλμ	9
τσῆ	9
τσιριχτά	9
τρανός	9
τέλος	9
σοι	9
ρωμαίικα	9
παλαιά	9
οπίς	9
νότια	9
νοτιοανατολικά	9
λέγουμε	9
κώστας	9
κούντουρονος	9
κούντουρον	9
κομμάτ	9
ιταλικά	9
ιστορίας	9
θεσσαλονίκην	9
εκαικά	9
δύο	9
διογένες	9
δημοκρατίας	9
αμερικήν	9
αβούτο	9
έχασεν	9
έταν	9
‘κ	8
όνταν	8
ως	8
χωρίζ	8
χρόνον	8
χερσόνησον	8
χέρντερ	8
φον	8
φιλόσοφον	8
τελείται	8
τ'ατό	8
συνθήκην	8
στοιχείον	8
σουμά	8
ρωμαϊκού	8
ποταμόν	8
παιδία	8
πέλλας	8
νότιον	8
ντε	8
ν	8
μικρά	8
μη	8
λοέν	8
λατ	8
κεντρικόν	8
καλομηνά	8
θάλασσας	8
επαρχίας	8
