id,date,post
147000803,1462069287,певое место.<br>ахуенный причесон😸
308416836,1462526568,#Тюмень
308416836,1462526554,#Тюмень
308416836,1460215598,💦#плаванье #альбатрос 🏊
308416836,1460138640,#Омск #НаРайончике
308416836,1458391620,#Шерегеш #сигна
308416836,1457172638,#практика #TheEnd #СибГУФК #лицей64 #физрук
308416836,1456415801,#ректорат #СибГУФК #Омск
308416836,1456060924,#практика #СибГУФК #лицей64 #физрук #веселыеСтарты
308416836,1452355397,#2016 #ёлка
308416836,1450968844,#Ёлка
189615964,1465308021,Кто в таре я здеся не месный пошли гулять покажите окресность
189615964,1464193083,"Интересно, меня одного бесят эти шкуры в бантах? Белый цвет, цвет невинности, которая у них отсутствует."
189615964,1463999765,Работа епта
189615964,1462940701,Вот как надо танцевать(смотрите и советуйте друзьям)
189615964,1462692844,"🇷🇺🇷🇺🇷🇺Нет,мы не видели войны,Спасибо вам,отцы и деды!За этот-лучший день весны,За майский день,за 💫ДЕНЬ ПОБЕДЫ!💫"
189615964,1462208084,Мы с тобой пойдем этот мир до конца  ты будешь моя  только моя Ты раздевайся при лунном свете лунные лучим обжигает твое тело<br>Поцелуи нежные прикосновение ты ночами потела под моим телом ты сама этого хотело  я люблю  тебя молая поверь мне
189615964,1462177078,"Боже, снова.....<br>Трагедия для страны... Как же страшно😢<br>Соболезнуем, только что увидел..."
189615964,1462124894,"Послушай как,тебе мое творчество"
189615964,1461434979,"У каждого из нас судьбы разные,одинаковых не может быть,бывают лишь похожие стечения обстоятельств и если они с кем-то совпадают,это не повод говорить что вы одинаковые люди,каждый из нас три раза страдает,два раза поймет,один раз осудит,но все ровно сделает по своему"
189615964,1461414277,"В этой жизни ты сам искал себе дорогу,<br>Ты сам её пройдёш от самого начала до конца,<br>Ведь человеку Бог отдал свободу,<br>Благодари за это нашего творца,<br>По жизни каждый ошибется,<br>И каждый что-то да поймёт,<br>Кому-то жизнь как сахар отдается,<br>А кто-то в серости пройдёт,<br>Но часто люди забывают что не они решают сколько жить отведено,<br>И так же нагло продолжают брать то что им по жизни не дано,<br>В конце концов мы все когда-то умераем,<br>И что другому было здесь дано,<br>Там мы в три раза возрощаем,<br>Все по тому что в жизни каждому свое"
